gene_a,gene_a.identifier,gene_b,gene_b.identifier,SL.cellline,pubmed_id,source,sl_score,sl,combined_score,reactome,corum,go_F,go_C,go_P,kegg,all,gene_a_encoder,gene_b_encoder
CREBZF,58487,SPCS2,9789,,25171417,Daisy,0.2,1,0.0,0,0,0,0,0,0,0,1751,8014
CREBZF,58487,KRAS,3845,,22613949,Text Mining,0.6,1,0.0,0,0,1,1,0,0,3,1751,4255
GLE1,2733,TMED2,10959,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,3174,8594
GLE1,2733,GRID2,2895,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,3174,3347
GLE1,2733,GLUD2,2747,,25171417,Daisy,0.17,1,0.0,0,0,0,1,0,0,2,3174,3196
CD46,2733,GLE1,4179,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,1238,3174
GLE1,2733,POLE3,54107,,25171417,Daisy,0.2,1,0.0,0,0,1,0,0,0,2,3174,6326
GLE1,2733,SPTLC1,10558,,25171417,Daisy,0.2,1,0.0,0,0,1,0,0,0,2,3174,8052
GLE1,2733,TBL1XR1,79718,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,3174,8387
ECH1,1891,HRAS,3265,,19490893,GenomeRNAi,0.479,1,0.0,0,0,1,1,0,0,3,2352,3671
ECH1,1891,KRAS,3845,,19490893,GenomeRNAi,0.479,1,0.0,0,0,1,3,0,0,3,2352,4255
ECH1,1891,RBM24,221662,,29959327,ISLE,0.3,1,0.0,0,0,1,1,0,0,3,2352,6910
ECH1,1891,NRAS,4893,,19490893,GenomeRNAi,0.479,1,0.0,0,0,1,2,0,0,3,2352,5515
ECH1,1891,TXNDC5,81567,,29959327,ISLE,0.3,1,166.0,0,0,1,1,0,0,3,2352,9049
FANCI,55215,TOPBP1,11073,,25171417,computer analysis,0.3,1,969.0,5,0,2,1,0,1,5,2767,8786
FANCI,55215,LIG1,3978,,25171417,computer analysis,0.3,1,408.0,1,0,1,1,0,1,5,2767,4404
FANCI,55215,SIRT7,51547,,29959327,ISLE,0.3,1,0.0,0,0,1,1,0,0,3,2767,7622
FANCI,55215,NAE1,8883,,23100467,GenomeRNAi,0.5,1,0.0,0,0,1,1,0,0,3,2767,5202
BUB1,55215,FANCI,699,,25171417,computer analysis,0.3,1,848.0,0,0,1,3,0,0,3,881,2767
FANCI,55215,RFC4,5984,,25171417,Daisy,0.2,1,983.0,5,0,1,1,0,1,5,2767,6985
FANCI,55215,SKP2,6502,,25171417,computer analysis,0.3,1,248.0,3,0,1,2,0,0,4,2767,7636
FANCI,55215,PTPRN2,5799,,29959327,ISLE,0.3,1,0.0,0,0,0,0,0,0,0,2767,6703
DTL,55215,FANCI,51514,,25171417,computer analysis,0.3,1,851.0,1,0,1,2,0,0,4,2286,2767
TAOK1,57551,WDTC1,23038,,25171417,computer analysis,0.3,1,0.0,0,0,1,2,0,0,3,8338,9391
SF1,57551,TAOK1,7536,,25171417,computer analysis,0.3,1,213.0,0,0,1,0,0,0,2,7526,8338
KRAS,57551,TAOK1,3845,,19490893,Text Mining,0.6,1,156.0,1,0,1,2,1,1,6,4255,8338
BRF1,57551,TAOK1,2972,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,847,8338
PDE4C,57551,TAOK1,5143,,25171417,computer analysis,0.3,1,0.0,1,0,0,2,0,0,3,5957,8338
TAOK1,57551,USP36,57602,,25171417,Daisy,0.2,1,0.0,0,0,1,2,0,0,3,8338,9216
TAOK1,57551,TWIST1,7291,,29959327,ISLE,0.3,1,0.0,0,0,1,0,0,0,2,8338,9039
TAOK1,57551,USF2,7392,,25171417,computer analysis,0.3,1,0.0,1,0,1,0,0,0,3,8338,9194
CHD9,80205,TONSL,4796,,29959327,ISLE,0.3,1,0.0,0,0,0,2,0,0,2,1460,8778
CHD9,80205,TWIST1,7291,,29959327,ISLE,0.3,1,0.0,0,0,0,1,0,0,2,1460,9039
CHD9,80205,SCRIB,23513,,29959327,ISLE,0.3,1,0.0,0,0,0,1,0,0,2,1460,7412
IDI1,3422,INSIG1,3638,,25171417,computer analysis,0.3,1,783.0,4,0,0,0,1,0,3,3761,3904
CDK4,1019,MT1X,4501,,3965078,Decipher,0.5479999999999999,1,165.0,1,0,1,1,0,0,4,1325,5054
CDK4,1019,CDK9,1025,,31300006,CRISPR/CRISPRi,0.33,1,917.0,5,0,4,3,4,1,6,1325,1333
CDK4,1019,POLD1,5424,,3965078,Decipher,0.542,1,600.0,3,0,1,3,0,0,4,1325,6318
CDK4,1019,NHP2,55651,,3965078,Decipher,0.542,1,271.0,1,0,1,1,0,0,4,1325,5381
CDK4,1019,RAD9A,5883,,3965078,Decipher,0.5479999999999999,1,231.0,4,0,1,2,0,1,5,1325,6813
CDK4,1019,UNG,7374,,3965078,Decipher,0.542,1,314.0,0,0,1,2,0,0,3,1325,9178
CDK4,1019,CETN2,1069,,3965078,Decipher,0.536,1,155.0,2,0,1,2,1,0,5,1325,1419
CDK4,1019,RPL13A,23521,,3965078,Decipher,0.46399999999999997,1,155.0,4,0,0,3,0,0,3,1325,7162
CDK4,1019,RELA,5970,,3965078,Decipher,0.542,1,703.0,13,0,2,5,3,17,6,1325,6963
CDK4,1019,PMS2,5395,,3965078,Decipher,0.557,1,334.0,4,0,2,3,1,0,5,1325,6290
CDK4,1019,HDAC1,3065,,28319113,CRISPR screen,0.65,1,962.0,11,0,1,5,3,6,6,1325,3493
CDK4,1019,EGFR,1956,,3965078,Decipher,0.545,1,303.0,8,0,2,3,4,15,6,1325,2402
CDK4,1019,SESN2,83667,,3965078,Decipher,0.551,1,0.0,5,0,1,2,0,1,5,1325,7514
CDK4,1019,RAD51,5888,,3965078,Decipher,0.509,1,945.0,7,0,2,4,2,2,6,1325,6803
CDK4,1019,POLR2A,5430,,3965078,Decipher,0.512,1,0.0,7,0,1,3,1,0,5,1325,6340
CDK4,1019,TNFRSF10B,8795,,3965078,Decipher,0.545,1,358.0,4,0,1,0,1,2,5,1325,8718
CDK4,1019,PPM1D,8493,,3965078,Decipher,0.5539999999999999,1,343.0,4,0,1,3,2,1,6,1325,6414
CDK4,1019,MAPK12,6300,,3965078,Decipher,0.536,1,284.0,2,0,2,3,2,8,6,1325,4650
CDK4,1019,IGF1,3479,,3965078,Decipher,0.527,1,453.0,1,0,1,0,5,7,5,1325,3796
CDK4,1019,USP1,7398,,3965078,Decipher,0.5479999999999999,1,0.0,0,0,1,3,0,0,3,1325,9197
CDK4,1019,CDK6,1021,,3965078;20609353,Decipher;Text Mining,0.6175,1,975.0,25,3,5,5,7,23,7,1325,1330
CDK4,1019,ERCC1,2067,,3965078,Decipher,0.5479999999999999,1,187.0,0,0,1,1,0,0,3,1325,2580
CDK4,1019,XRCC2,7516,,3965078,Decipher,0.56,1,0.0,0,0,2,1,0,0,3,1325,9445
CDK4,1019,PRKDC,5591,,28319113,CRISPR screen,0.65,1,482.0,0,0,2,5,5,2,5,1325,6526
CDK4,1019,WRAP53,55135,,3965078,Decipher,0.5479999999999999,1,0.0,1,0,2,2,0,0,4,1325,9412
CDK4,1019,GTF2H1,2965,,3965078,Decipher,0.5329999999999999,1,0.0,4,0,1,1,2,1,6,1325,3398
CDK4,1019,H2AC8,3012,,3965078,Decipher,0.5479999999999999,1,0.0,20,0,0,0,0,0,1,1325,3438
CDK4,1019,POLD4,57804,,3965078,Decipher,0.545,1,0.0,3,0,1,1,0,0,4,1325,6321
CDK4,1019,POLM,27434,,3965078,Decipher,0.536,1,0.0,0,0,1,2,0,0,3,1325,6333
CDK4,1019,RRM1,6240,,3965078,Decipher,0.521,1,440.0,0,0,2,1,0,0,3,1325,7263
CDK4,1019,RAD23B,5887,,3965078,Decipher,0.542,1,199.0,0,0,1,3,0,0,3,1325,6801
CDK4,1019,TOP1,7150,,28319113,CRISPR screen,0.65,1,454.0,0,0,2,3,2,0,4,1325,8779
CDK4,1019,PIK3CA,5290,,26174628,Text Mining,0.56,1,665.0,3,0,2,2,4,23,6,1325,6138
CDK4,1019,ERBB2,2064,,28319113,CRISPR screen,0.65,1,434.0,8,0,2,3,4,9,6,1325,2574
CDK4,1019,SSBP1,6742,,3965078,Decipher,0.512,1,0.0,0,0,1,1,0,0,3,1325,8103
CDK4,1019,MDM2,4193,,3965078,Decipher,0.527,1,798.0,11,0,1,4,2,14,6,1325,4742
CDK4,1019,POLE,5426,,3965078,Decipher,0.524,1,380.0,5,0,1,2,1,0,5,1325,6324
CDK4,1019,ZBTB32,27033,,3965078,Decipher,0.5479999999999999,1,0.0,0,0,1,2,0,0,3,1325,9504
CDK4,1019,TARBP2,6895,,25171417,Daisy,0.2,1,0.0,1,0,1,3,1,0,5,1325,8346
CDK4,1019,IGFBP3,3486,,3965078,Decipher,0.557,1,266.0,3,0,1,1,2,2,6,1325,3804
CDK4,1019,KRAS,3845,,26114963,textmining,0.2,1,715.0,5,0,2,1,1,20,6,1325,4255
CDK4,1019,MTOR,2475,,3965078,Decipher,0.557,1,642.0,7,0,2,3,2,12,6,1325,5086
CDK4,1019,PARP1,142,,3965078;23792647,Decipher;Text Mining,0.6355,1,480.0,5,0,1,4,1,0,5,1325,5836
CDK4,1019,DNTT,1791,,3965078,Decipher,0.545,1,405.0,0,0,1,3,0,0,3,1325,2225
CDK4,1019,VHL,7428,,28319113,CRISPR screen,0.65,1,198.0,3,0,1,3,0,1,5,1325,9281
CDK4,1019,PARP2,10038,,3965078,Decipher,0.5539999999999999,1,174.0,0,0,1,2,0,0,3,1325,5841
CDK4,1019,RBX1,9978,,3965078,Decipher,0.557,1,247.0,12,0,2,3,0,2,5,1325,6935
CDK4,1019,CHEK2,11200,,28319113,CRISPR screen,0.65,1,610.0,4,0,2,2,3,5,6,1325,1463
CDK4,1019,TP53,7157,,23728082,computer analysis,0.3,1,874.0,11,0,2,6,1,23,6,1325,8792
CDK4,1019,KDR,3791,,3965078,Decipher,0.551,1,220.0,2,0,2,1,1,2,6,1325,4130
MARVELD2,7433,VIPR1,153562,,25171417,computer analysis,0.3,1,237.0,0,0,1,0,0,0,2,4682,9284
PTAR1,22931,RAB18,375743,,26472760,Text Mining,0.6,1,0.0,0,0,0,0,0,0,0,6642,6754
RAB18,22931,RAB1B,81876,,26472760,Text Mining,0.6,1,931.0,9,0,3,4,1,2,6,6754,6756
EIPR1,22931,RAB18,7260,,26472760,Text Mining,0.6,1,0.0,0,0,1,0,0,1,3,2460,6754
RAB18,22931,RAB1A,5861,,26472760,Text Mining,0.6,1,932.0,9,0,3,3,1,2,6,6754,6755
MBNL1,4154,NAE1,8883,,23100467,GenomeRNAi,0.629,1,0.0,0,0,1,2,0,0,3,4703,5202
BRCA1,4154,MBNL1,672,,26427375,computer analysis,0.3,1,0.0,0,0,2,3,0,0,3,839,4703
ACAP1,9744,DEF6,50619,,25171417,Daisy,0.16699999999999998,1,154.0,0,0,1,1,0,2,4,66,2062
ACAP1,9744,SEMA4A,64218,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,66,7468
ACAP1,9744,MAP4K1,11184,,25171417,computer analysis,0.3,1,340.0,0,0,1,1,0,0,3,66,4642
ACAP1,9744,GIMAP1,170575,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,66,3146
ACAP1,9744,DEFA6,1671,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,66,2064
ASB7,140460,NRAS,4893,,19490893,GenomeRNAi,0.449,1,157.0,2,0,1,0,0,0,3,561,5515
ASB7,140460,HRAS,3265,,19490893,GenomeRNAi,0.449,1,157.0,2,0,1,1,0,0,4,561,3671
ASB7,140460,KRAS,3845,,19490893,GenomeRNAi,0.449,1,157.0,1,0,1,1,0,0,4,561,4255
PUM2,23369,ZBTB6,10773,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,6714,9514
BMPR1A,657,KRAS,3845,,19490893,GenomeRNAi,0.515,1,346.0,1,0,1,1,0,1,5,817,4255
BMPR1A,657,HRAS,3265,,19490893,GenomeRNAi,0.515,1,379.0,1,0,1,1,2,1,6,817,3671
BMPR1A,657,NRAS,4893,,19490893,GenomeRNAi,0.515,1,194.0,1,0,1,1,0,1,5,817,5515
BMPR1A,657,MYC,4609,,22623531,Text Mining,0.4,1,0.0,2,0,2,0,3,3,5,817,5125
PTEN,118472,ZNF511,5728,,26427375,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,6654,9727
CPSF2,53981,KRAS,3845,,19490893,GenomeRNAi,0.455,1,0.0,2,0,1,1,0,0,4,1730,4255
CPSF2,53981,NRAS,4893,,19490893,GenomeRNAi,0.455,1,0.0,0,0,1,1,0,0,3,1730,5515
CPSF2,53981,HRAS,3265,,19490893,GenomeRNAi,0.455,1,0.0,0,0,1,1,0,0,3,1730,3671
ANKH,56172,KRAS,3845,,19490893,GenomeRNAi,0.44,1,0.0,0,0,0,1,0,0,2,346,4255
ANKH,56172,NRAS,4893,,19490893,GenomeRNAi,0.44,1,0.0,0,0,0,1,0,0,2,346,5515
ANKH,56172,HRAS,3265,,19490893,GenomeRNAi,0.44,1,0.0,0,0,0,1,0,0,2,346,3671
BRCA1,30848,CTAG2,672,,26427375,computer analysis,0.3,1,0.0,0,0,1,2,1,0,4,839,1817
LDHB,3945,ME1,4199,,31300006,CRISPR/CRISPRi,0.14,1,815.0,4,0,1,1,2,1,6,4361,4745
NDUFA3,4696,PRPF31,26121,,25171417,Daisy,0.2,1,576.0,0,0,1,0,0,0,2,5279,6551
TMEM186,25880,USP7,7874,,25171417,Daisy,0.2,1,354.0,0,0,1,0,0,0,2,8638,9231
ATP7A,538,CYP2C19,1557,,20609354,GenomeRNAi,0.509,1,0.0,0,0,0,0,0,0,0,659,1926
ATP7A,538,SLC22A2,6582,,20609354,GenomeRNAi,0.509,1,290.0,1,0,0,3,0,0,3,659,7679
ATP7A,538,KIT,3815,,20609354,GenomeRNAi,0.509,1,583.0,1,0,2,1,1,0,5,659,4186
ATP7A,538,CYP2C9,1559,,20609354,GenomeRNAi,0.509,1,0.0,0,0,0,0,0,0,0,659,1928
ATP7A,538,ORM1,5004,,20609354,GenomeRNAi,0.509,1,0.0,2,0,1,0,0,0,3,659,5724
ATP7A,538,CYP1A2,1544,,20609354,GenomeRNAi,0.509,1,0.0,0,0,1,0,3,0,3,659,1915
ATP7A,538,PDGFRB,5159,,20609354,GenomeRNAi,0.509,1,171.0,1,0,2,5,2,0,5,659,5969
ATP7A,538,SLC22A1,6580,,20609354,GenomeRNAi,0.509,1,171.0,1,0,1,4,0,0,4,659,7675
ATP7A,538,CHEK2,11200,,23347679,Text Mining,0.1775,1,0.0,0,0,2,2,0,0,3,659,1463
ATP7A,538,CYP2D6,1565,,20609354,GenomeRNAi,0.509,1,0.0,0,0,0,1,0,0,2,659,1929
ATP7A,538,NTRK1,4914,,20609354,GenomeRNAi,0.509,1,269.0,0,0,2,3,0,0,3,659,5560
ATP7A,538,PDGFRA,5156,,20609354,GenomeRNAi,0.509,1,0.0,1,0,2,5,3,0,5,659,5968
ATP7A,538,CYP3A7,1551,,20609354,GenomeRNAi,0.509,1,0.0,0,0,0,0,0,0,0,659,1936
ATP7A,538,KAT8,84148,,23347679,Text Mining,0.1775,1,0.0,0,0,1,1,0,0,3,659,4042
ATP7A,538,DDR1,780,,20609354,GenomeRNAi,0.509,1,0.0,0,0,2,1,2,0,4,659,2028
ATP7A,538,PTGS1,5742,,20609354,GenomeRNAi,0.509,1,0.0,0,0,1,1,0,0,3,659,6666
ATP7A,538,CSF1R,1436,,20609354,GenomeRNAi,0.509,1,0.0,1,0,2,1,0,0,4,659,1782
ATP7A,538,CYP3A4,1576,,20609354,GenomeRNAi,0.509,1,0.0,0,0,1,1,0,0,3,659,1934
ATP7A,538,RET,5979,,20609354,GenomeRNAi,0.509,1,0.0,1,0,2,3,1,0,5,659,6973
ATP7A,538,BCR,613,,20609354,GenomeRNAi,0.509,1,0.0,0,0,2,3,0,0,3,659,769
ATP7A,538,CYP3A5,1577,,20609354,GenomeRNAi,0.509,1,0.0,0,0,1,0,0,0,2,659,1935
SCN2B,6327,THPO,7066,,25171417,computer analysis,0.3,1,0.0,0,0,0,0,0,0,0,7398,8514
EEF1G,1937,PNN,5411,,31300006,CRISPR/CRISPRi,0.02,1,0.0,0,0,1,1,0,1,4,2377,6302
EEF1G,1937,TUBGCP3,10426,,31300006,CRISPR/CRISPRi,0.24,1,0.0,0,0,1,3,0,0,3,2377,9028
EEF1G,1937,MFAP1,4236,,31300006,CRISPR/CRISPRi,0.05,1,0.0,0,0,1,1,0,0,3,2377,4805
EEF1G,1937,NSMCE4A,54780,,31300006,CRISPR/CRISPRi,0.08,1,0.0,1,0,1,1,0,0,4,2377,5539
EEF1G,1937,TTC4,7268,,31300006,CRISPR/CRISPRi,0.19,1,0.0,0,0,1,2,0,0,3,2377,8992
EEF1G,1937,ROMO1,140823,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,0,0,0,2,2377,7135
EEF1G,1937,ZNF830,91603,,31300006,CRISPR/CRISPRi,0.22,1,0.0,0,0,1,1,0,0,3,2377,9840
EEF1G,1937,WDR61,80349,,31300006,CRISPR/CRISPRi,0.01,1,0.0,1,0,1,3,0,1,5,2377,9377
EEF1G,1937,TRMT5,57570,,31300006,CRISPR/CRISPRi,0.25,1,0.0,0,0,0,2,0,0,2,2377,8910
EEF1G,1937,EXOSC9,5393,,31300006,CRISPR/CRISPRi,0.08,1,154.0,1,0,1,4,0,1,5,2377,2662
EEF1G,1937,VPS72,6944,,31300006,CRISPR/CRISPRi,0.11,1,0.0,0,0,1,1,0,0,3,2377,9318
EEF1G,1937,NUP85,79902,,31300006,CRISPR/CRISPRi,0.04,1,0.0,1,0,1,2,0,1,5,2377,5604
EEF1G,1937,YTHDC1,91746,,31300006,CRISPR/CRISPRi,0.02,1,0.0,0,0,1,1,0,0,3,2377,9476
EEF1G,1937,GTF3C3,9330,,31300006,CRISPR/CRISPRi,0.24,1,171.0,0,0,1,0,0,0,2,2377,3406
EEF1G,1937,RTF1,23168,,31300006,CRISPR/CRISPRi,0.11,1,0.0,1,0,1,0,0,0,3,2377,7290
EEF1G,1937,ZWINT,11130,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,2,0,0,3,2377,9868
EEF1G,1937,POLR2K,5440,,31300006,CRISPR/CRISPRi,0.22,1,0.0,0,0,1,2,0,0,3,2377,6351
WARS2,10352,ZWINT,11130,,31300006,CRISPR/CRISPRi,0.08,1,0.0,0,0,0,0,0,0,0,9343,9868
WARS2,10352,ZNF830,91603,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,0,0,0,0,0,9343,9840
FBLN1,2192,INTS8,55656,,29959327,ISLE,0.3,1,0.0,0,0,0,0,0,0,0,2789,3922
DAZ3,57054,NAE1,8883,,23100467,GenomeRNAi,0.638,1,0.0,0,0,1,2,0,0,3,1966,5202
FKBP11,51303,PTGS1,5742,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,0,0,0,0,2905,6666
FKBP11,51303,KIT,3815,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,0,0,0,0,2905,4186
FKBP11,51303,PDGFRA,5156,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,1,0,0,2,2905,5968
FKBP11,51303,SLC22A2,6582,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,1,0,0,2,2905,7679
FKBP11,51303,ORM1,5004,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,0,0,0,0,2905,5724
FKBP11,51303,RET,5979,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,0,0,0,0,2905,6973
FKBP11,51303,NTRK1,4914,,20609354,GenomeRNAi,0.506,1,192.0,0,0,0,0,0,0,0,2905,5560
FKBP11,51303,SLC22A1,6580,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,1,0,0,2,2905,7675
FKBP11,51303,PDGFRB,5159,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,1,0,0,2,2905,5969
RHOG,391,TAF10,6881,,25171417,Daisy,0.2,1,164.0,1,0,1,0,0,0,3,7033,8314
RPLP1,6176,SSBP1,6742,,31300006,CRISPR/CRISPRi,0.23,1,0.0,0,0,1,0,0,0,2,7199,8103
RPLP1,6176,SNRPD3,6634,,31300006,CRISPR/CRISPRi,0.17,1,225.0,1,0,1,1,0,0,4,7199,7925
RPLP1,6176,TAF2,6873,,31300006,CRISPR/CRISPRi,0.16,1,0.0,2,0,1,0,0,0,3,7199,8322
RPLP1,6176,VPS29,51699,,31300006,CRISPR/CRISPRi,0.28,1,0.0,0,0,1,1,0,0,3,7199,9303
RPLP1,6176,TTC4,7268,,31300006,CRISPR/CRISPRi,0.03,1,0.0,0,0,1,0,0,0,2,7199,8992
RPLP1,6176,TUBGCP3,10426,,31300006,CRISPR/CRISPRi,0.01,1,0.0,0,0,1,1,0,0,3,7199,9028
PHF21A,23335,WDR7,51317,,25171417,computer analysis,0.3,1,0.0,0,0,0,0,0,0,0,6085,9379
STRBP,55342,YEATS4,8089,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,8201,9464
STRBP,55342,ZNF273,10793,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,8201,9665
MDM4,55342,STRBP,4194,,25171417,computer analysis,0.3,1,0.0,0,0,1,1,0,0,3,4743,8201
EPB41,55342,STRBP,2035,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,2538,8201
STRBP,55342,ZNF138,7697,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,8201,9622
LUC7L2,55342,STRBP,51631,,25171417,computer analysis,0.3,1,0.0,0,0,2,0,0,1,3,4539,8201
STRBP,55342,ZNF92,168374,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,8201,9848
TACR1,6869,TMEM212,389177,,25171417,Daisy,0.2,1,0.0,0,0,0,0,0,0,0,8308,8647
RAPSN,6869,TACR1,5913,,25171417,computer analysis,0.3,1,0.0,0,0,0,1,0,0,2,6852,8308
GPR68,6869,TACR1,8111,,25171417,computer analysis,0.3,1,900.0,6,0,0,2,2,1,5,3306,8308
LRCH4,4430,MYO1B,4034,,29959327,ISLE,0.3,1,0.0,0,0,1,0,0,0,2,4469,5157
MYO1B,4430,RND3,390,,25171417,Daisy,0.2,1,369.0,0,0,1,1,1,0,4,5157,7079
EIF2S1,1965,NAE1,8883,,23100467,GenomeRNAi,0.611,1,0.0,1,0,1,1,0,1,5,2429,5202
PBRM1,55193,TOP1,7150,,28319113,CRISPR screen,0.65,1,326.0,0,0,3,2,1,0,4,5862,8779
PBRM1,55193,VHL,7428,,28319113,CRISPR screen,0.65,1,560.0,0,0,1,1,1,0,4,5862,9281
PBRM1,55193,UBR5,51366,,27438146,computer analysis,0.3,1,357.0,0,0,1,1,0,0,3,5862,9129
PBRM1,55193,PTEN,5728,,31300006,CRISPR/CRISPRi,0.2,1,504.0,3,0,1,1,1,1,6,5862,6654
HCN3,57657,NRAS,4893,,19490893,GenomeRNAi,0.506,1,0.0,1,0,1,1,0,1,5,3489,5515
HCN3,57657,HRAS,3265,,19490893,GenomeRNAi,0.506,1,0.0,1,0,1,1,0,1,5,3489,3671
HCN3,57657,KRAS,3845,,19490893,GenomeRNAi,0.506,1,0.0,0,0,1,1,0,1,4,3489,4255
